"status","code","msg","response__c","response__h","response__l","response__ch","response__cp","response__t","response__s","response__cty","response__ccy","response__exch","response__id","response__tm","info__exchanges","info__sectors","info__server_time","info__credit_count","info___t"
"","","","517.10","529.90","496.55","+16.20","3.23%","1611050399","CNFH","india","INR","NSE","63963","2021-01-19 09:59:59","","","","",""
"","","","409.00","413.00","402.00","+3.65","0.9%","1611050377","CRBR","india","INR","NSE","63964","2021-01-19 09:59:37","","","","",""
"","","","254.10","257.40","237.05","+15.20","6.36%","1611050397","CNTP","india","INR","NSE","63965","2021-01-19 09:59:57","","","","",""
"","","","701.30","704.50","689.75","+13.85","2.01%","1611050399","CESC","india","INR","NSE","63966","2021-01-19 09:59:59","","","","",""
"","","","226.10","228.90","225.40","+0.10","0.04%","1611050395","CHMB","india","INR","NSE","63967","2021-01-19 09:59:55","","","","",""
"","","","126.70","128.75","121.70","+5.80","4.8%","1611050399","CHPC","india","INR","NSE","63968","2021-01-19 09:59:59","","","","",""
"","","","175.90","176.35","172.45","+3.60","2.09%","1611050399","CTBK","india","INR","NSE","63969","2021-01-19 09:59:59","","","","",""
"","","","9.85","10.15","9.50","0.00","0%","1584611999","CRBK","india","INR","NSE","63970","2020-03-19 09:59:59","","","","",""
"","","","1.55","1.60","1.55","-0.05","-3.13%","1611050399","COKI","india","INR","NSE","63971","2021-01-19 09:59:59","","","","",""
"","","","41.45","43.00","41.10","-0.55","-1.31%","1611050399","CGPO","india","INR","NSE","63972","2021-01-19 09:59:59","","","","",""
"","","","411.80","428.80","403.00","+11.70","2.92%","1611050399","DCMS","india","INR","NSE","63973","2021-01-19 09:59:59","","","","",""
"","","","149.95","151.90","148.40","+2.15","1.45%","1611050398","DELT","india","INR","NSE","63974","2021-01-19 09:59:58","","","","",""
"","","","119.40","119.40","116.85","+3.85","3.33%","1611050399","DCBA","india","INR","NSE","63975","2021-01-19 09:59:59","","","","",""
"","","","94.55","95.50","93.70","+1.50","1.61%","1611050387","EIHO","india","INR","NSE","63976","2021-01-19 09:59:47","","","","",""
"","","","965.10","1000.00","960.00","-14.45","-1.48%","1611050399","ECLE","india","INR","NSE","63977","2021-01-19 09:59:59","","","","",""
"","","","338.25","343.00","337.30","-1.40","-0.41%","1611050397","EIDP","india","INR","NSE","63978","2021-01-19 09:59:57","","","","",""
"","","","164.55","166.15","164.00","+1.75","1.07%","1611050396","ELGE","india","INR","NSE","63979","2021-01-19 09:59:56","","","","",""
"","","","1275.80","1297.95","1266.80","+4.00","0.31%","1611050399","ESCO","india","INR","NSE","63980","2021-01-19 09:59:59","","","","",""
"","","","258.00","266.90","256.90","-0.75","-0.29%","1611050399","ESSL","india","INR","NSE","63981","2021-01-19 09:59:59","","","","",""
"","","","321.70","325.80","321.00","+0.05","0.02%","1611050397","FDC","india","INR","NSE","63982","2021-01-19 09:59:57","","","","",""
